station_code,monitor_time,aqi,pm25,pm10,so2,no2,co,o3
5106A,2026-02-11 06:00:00,37,21.74,25.05,21.78,25.69,1.06,102.05
5107A,2026-02-11 06:00:00,82,57.84,53.44,5.51,43.16,1.03,64.26
1101A,2026-02-11 07:00:00,176,114.58,142.43,26.21,26.88,2.07,25.47
1102A,2026-02-11 07:00:00,102,52.8,88.95,13.76,40.19,2.24,79.82
1103A,2026-02-11 07:00:00,155,91.83,131.29,13.9,45.78,0.98,40.23
1104A,2026-02-11 07:00:00,148,88.88,120.78,14.09,45.33,2.2,65.22
1105A,2026-02-11 07:00:00,36,25.94,25.61,13.65,17.91,1.8,79.98
1106A,2026-02-11 07:00:00,62,33.56,48.01,28.77,45.56,1.93,107.78
1107A,2026-02-11 07:00:00,203,127.25,151.3,18.53,26.88,1.43,118.19
1108A,2026-02-11 07:00:00,76,54.96,70.92,6.29,42.76,2.37,58.92
1109A,2026-02-11 07:00:00,160,88.32,115.89,25.26,39.09,1.53,48.77
1201A,2026-02-11 07:00:00,192,111.44,144.22,21.32,36.93,1.37,29.21
1202A,2026-02-11 07:00:00,162,94.24,132.8,25.2,37.35,1.78,25.41
1203A,2026-02-11 07:00:00,177,112.47,132.2,14.28,20.96,1.87,100.29
1204A,2026-02-11 07:00:00,68,31.89,57.65,13.92,41.99,1.09,22.61
4401A,2026-02-11 07:00:00,158,89.97,124.16,27.38,24.92,1.35,47.96
4402A,2026-02-11 07:00:00,163,103.5,145.39,21.02,49.59,0.75,84.54
4403A,2026-02-11 07:00:00,51,25.54,38.08,5.81,41.79,2.21,73.48
4404A,2026-02-11 07:00:00,112,75.39,79.5,18.69,38.0,2.46,25.12
4405A,2026-02-11 07:00:00,209,132.49,173.29,25.25,24.17,0.63,29.16
4406A,2026-02-11 07:00:00,135,84.59,93.97,18.41,19.78,2.45,54.85
4407A,2026-02-11 07:00:00,108,55.5,84.59,5.19,34.45,0.54,49.14
4408A,2026-02-11 07:00:00,54,32.81,28.46,7.2,43.45,1.3,112.79
4409A,2026-02-11 07:00:00,122,77.02,93.68,14.57,42.0,2.15,119.52
4401B,2026-02-11 07:00:00,95,47.71,85.4,17.22,44.59,2.1,59.73
4402B,2026-02-11 07:00:00,132,73.77,112.41,12.47,22.33,1.8,74.67
4403B,2026-02-11 07:00:00,83,45.71,58.6,11.49,41.31,2.21,90.17
4404B,2026-02-11 07:00:00,165,89.0,135.65,15.36,16.9,2.28,63.95
4405B,2026-02-11 07:00:00,57,34.75,32.93,22.04,29.11,2.4,107.92
4406B,2026-02-11 07:00:00,124,70.2,98.4,11.03,33.07,1.94,33.47
5101A,2026-02-11 07:00:00,91,46.89,72.58,21.67,42.19,0.6,71.39
5102A,2026-02-11 07:00:00,200,112.22,148.49,10.02,31.22,1.06,36.3
5103A,2026-02-11 07:00:00,143,88.57,100.99,29.33,27.35,1.54,29.23
5104A,2026-02-11 07:00:00,148,97.82,117.24,26.09,18.32,1.66,87.41
5105A,2026-02-11 07:00:00,169,94.83,127.53,16.61,38.78,0.64,80.64
5106A,2026-02-11 07:00:00,66,38.81,47.88,17.83,15.63,1.29,67.65
5107A,2026-02-11 07:00:00,97,50.62,69.75,9.55,18.11,2.29,88.05
1101A,2026-02-11 08:00:00,180,106.35,137.21,11.88,33.32,2.29,65.99
1102A,2026-02-11 08:00:00,75,42.26,68.1,24.12,34.58,1.0,28.53
1103A,2026-02-11 08:00:00,147,94.8,108.78,19.65,36.59,1.13,116.67
1104A,2026-02-11 08:00:00,194,124.73,170.03,24.34,36.82,2.08,54.05
1105A,2026-02-11 08:00:00,38,13.52,17.35,24.44,29.01,2.15,67.97
1106A,2026-02-11 08:00:00,136,85.56,94.65,9.35,42.54,0.72,24.03
1107A,2026-02-11 08:00:00,44,34.77,37.66,15.25,37.78,0.53,91.92
1108A,2026-02-11 08:00:00,62,28.51,39.7,27.32,17.02,2.15,73.3
1109A,2026-02-11 08:00:00,103,67.98,74.12,15.95,41.7,1.56,81.84
1201A,2026-02-11 08:00:00,162,102.32,138.92,21.78,39.75,0.77,58.03
1202A,2026-02-11 08:00:00,202,124.73,156.15,9.54,36.62,1.56,31.13
1203A,2026-02-11 08:00:00,216,131.13,166.06,5.67,47.29,2.22,41.66
1204A,2026-02-11 08:00:00,162,96.28,127.38,19.52,49.64,0.87,28.33
4401A,2026-02-11 08:00:00,147,83.71,110.54,28.99,21.79,1.3,109.38
4402A,2026-02-11 08:00:00,57,41.37,41.25,5.79,22.94,1.62,36.3
4403A,2026-02-11 08:00:00,98,54.71,64.43,23.38,27.55,1.01,88.83
4404A,2026-02-11 08:00:00,189,118.74,154.68,14.73,40.61,2.15,34.43
4405A,2026-02-11 08:00:00,133,72.11,110.37,6.69,17.4,1.48,28.63
4406A,2026-02-11 08:00:00,180,98.51,138.43,18.95,44.42,1.85,47.57
4407A,2026-02-11 08:00:00,76,52.78,47.65,16.88,38.45,1.34,56.8
4408A,2026-02-11 08:00:00,216,124.13,161.01,6.93,30.65,2.49,80.9
4409A,2026-02-11 08:00:00,204,113.14,148.52,21.4,44.78,2.31,93.49
4401B,2026-02-11 08:00:00,121,76.67,105.35,23.85,40.96,0.56,44.4
4402B,2026-02-11 08:00:00,117,72.71,100.84,26.48,45.36,2.11,34.42
4403B,2026-02-11 08:00:00,121,81.71,96.66,5.57,17.92,1.41,55.95
4404B,2026-02-11 08:00:00,200,111.44,174.75,19.71,48.66,1.6,66.92
4405B,2026-02-11 08:00:00,40,15.18,45.9,23.09,15.62,1.58,35.18
4406B,2026-02-11 08:00:00,49,22.36,31.86,21.46,47.1,0.8,117.88
5101A,2026-02-11 08:00:00,115,66.7,93.22,27.24,25.19,0.71,88.08
5102A,2026-02-11 08:00:00,118,70.18,108.17,14.25,26.29,0.55,93.71
5103A,2026-02-11 08:00:00,79,40.59,67.97,13.56,20.95,0.58,69.9
5104A,2026-02-11 08:00:00,133,71.84,100.74,22.25,33.97,1.44,28.23
5105A,2026-02-11 08:00:00,123,73.97,107.26,7.27,47.54,2.11,89.07
5106A,2026-02-11 08:00:00,45,22.19,32.91,17.49,28.1,2.27,96.22
5107A,2026-02-11 08:00:00,94,62.35,79.83,14.71,35.36,1.76,105.71
1101A,2026-02-11 09:00:00,40,20.87,39.62,14.99,21.21,1.32,20.4
1102A,2026-02-11 09:00:00,151,84.57,110.32,8.35,25.44,2.49,37.97
1103A,2026-02-11 09:00:00,47,28.11,48.38,8.33,47.77,1.61,56.42
1104A,2026-02-11 09:00:00,85,59.81,59.48,25.31,44.33,1.66,28.18
1105A,2026-02-11 09:00:00,207,125.32,160.34,21.9,38.0,0.61,78.62
1106A,2026-02-11 09:00:00,74,51.6,52.98,23.23,35.88,0.93,84.21
1107A,2026-02-11 09:00:00,80,45.24,77.83,5.38,43.1,1.53,110.52
1108A,2026-02-11 09:00:00,112,70.35,94.94,23.34,25.03,2.43,64.6
1109A,2026-02-11 09:00:00,133,76.39,97.97,25.3,32.72,0.89,82.53
1201A,2026-02-11 09:00:00,89,62.29,75.02,29.86,26.52,2.0,75.26
1202A,2026-02-11 09:00:00,188,113.74,162.96,18.16,21.49,0.64,79.08
1203A,2026-02-11 09:00:00,55,32.46,55.02,19.21,31.92,0.7,54.92
1204A,2026-02-11 09:00:00,39,19.15,25.06,25.43,35.95,1.06,110.63
4401A,2026-02-11 09:00:00,46,35.45,37.48,27.73,16.98,0.82,108.55
4402A,2026-02-11 09:00:00,172,93.97,143.97,20.13,26.16,2.18,91.85
4403A,2026-02-11 09:00:00,196,120.83,157.01,6.16,22.67,2.37,55.48
4404A,2026-02-11 09:00:00,189,113.21,145.99,14.77,18.83,0.73,85.38
4405A,2026-02-11 09:00:00,170,105.41,125.82,7.89,34.14,2.49,116.96
4406A,2026-02-11 09:00:00,133,87.46,95.78,12.65,22.73,1.36,96.49
4407A,2026-02-11 09:00:00,191,114.82,162.52,15.22,49.75,2.42,24.46
4408A,2026-02-11 09:00:00,42,25.15,27.99,27.15,46.52,0.78,78.03
4409A,2026-02-11 09:00:00,86,46.17,54.2,16.69,22.98,1.28,104.12
4401B,2026-02-11 09:00:00,111,63.49,103.53,27.46,33.22,2.32,93.1
4402B,2026-02-11 09:00:00,86,54.56,57.93,13.9,31.21,1.01,85.53
4403B,2026-02-11 09:00:00,129,78.03,98.64,9.14,33.05,1.44,29.18
4404B,2026-02-11 09:00:00,105,72.12,70.45,24.96,22.31,1.94,99.54
4405B,2026-02-11 09:00:00,62,34.89,60.77,15.21,45.99,0.8,42.38
4406B,2026-02-11 09:00:00,178,111.99,147.67,20.15,38.25,1.57,47.74
5101A,2026-02-11 09:00:00,175,98.11,150.21,10.07,46.77,0.63,108.34
5102A,2026-02-11 09:00:00,36,26.39,38.51,16.05,34.9,1.84,92.1
5103A,2026-02-11 09:00:00,96,55.81,69.85,14.73,17.33,1.14,84.08
5104A,2026-02-11 09:00:00,196,120.66,164.64,9.71,29.42,0.85,31.05
5105A,2026-02-11 09:00:00,131,84.44,100.3,21.61,15.11,0.84,54.97
5106A,2026-02-11 09:00:00,138,73.32,102.24,20.96,38.14,1.1,91.98
5107A,2026-02-11 09:00:00,159,97.6,135.61,29.86,38.63,0.91,29.86
1101A,2026-02-11 10:00:00,87,56.06,57.48,28.58,18.96,1.69,98.04
1102A,2026-02-11 10:00:00,173,95.64,152.05,28.18,36.86,2.18,84.1
1103A,2026-02-11 10:00:00,142,86.02,125.14,21.56,27.54,0.68,70.19
1104A,2026-02-11 10:00:00,140,74.83,101.38,10.37,35.96,1.25,22.38
1105A,2026-02-11 10:00:00,203,112.38,153.67,24.87,43.3,2.06,46.24
1106A,2026-02-11 10:00:00,158,104.63,115.06,7.98,19.52,0.77,96.42
1107A,2026-02-11 10:00:00,175,95.01,143.67,24.62,17.0,0.54,30.37
1108A,2026-02-11 10:00:00,151,84.41,124.65,9.67,19.94,1.62,87.25
1109A,2026-02-11 10:00:00,141,90.38,106.51,7.41,33.26,1.92,96.17
1201A,2026-02-11 10:00:00,192,111.56,139.81,25.46,19.62,1.67,119.02
1202A,2026-02-11 10:00:00,202,125.82,172.89,13.45,24.72,1.75,37.6
1203A,2026-02-11 10:00:00,186,121.06,135.58,15.55,39.56,1.64,52.52
1204A,2026-02-11 10:00:00,68,48.48,41.35,6.63,23.3,0.66,100.24
4401A,2026-02-11 10:00:00,161,87.9,132.74,12.4,31.66,0.65,29.25
4402A,2026-02-11 10:00:00,155,101.52,123.56,24.41,17.85,0.77,27.84
4403A,2026-02-11 10:00:00,41,33.9,45.01,29.39,39.62,1.45,71.12
4404A,2026-02-11 10:00:00,207,125.31,167.79,19.29,38.32,1.24,48.17
4405A,2026-02-11 10:00:00,196,120.42,154.11,10.24,32.3,2.06,81.32
4406A,2026-02-11 10:00:00,206,126.92,158.99,27.1,37.97,1.38,77.39
4407A,2026-02-11 10:00:00,192,111.38,165.95,26.77,48.45,0.65,92.97
4408A,2026-02-11 10:00:00,165,90.99,140.96,20.23,32.07,1.49,70.75
4409A,2026-02-11 10:00:00,70,40.34,48.82,28.3,16.86,0.82,106.89
4401B,2026-02-11 10:00:00,201,121.44,156.35,22.46,47.18,1.55,43.8
4402B,2026-02-11 10:00:00,193,115.45,157.83,14.59,41.91,1.86,45.61
4403B,2026-02-11 10:00:00,87,56.67,69.08,23.29,22.82,1.22,48.51
4404B,2026-02-11 10:00:00,128,76.29,113.18,21.72,19.1,1.41,76.63
4405B,2026-02-11 10:00:00,70,33.75,51.97,14.31,47.8,0.64,28.99
4406B,2026-02-11 10:00:00,176,110.45,143.77,8.5,33.24,1.32,80.63
5101A,2026-02-11 10:00:00,147,87.07,121.43,13.33,32.46,2.21,45.08
5102A,2026-02-11 10:00:00,58,44.03,58.01,17.29,31.92,0.94,58.6
5103A,2026-02-11 10:00:00,126,83.2,91.28,29.75,30.67,1.85,43.73
5104A,2026-02-11 10:00:00,110,71.21,73.31,10.49,38.3,2.49,68.21
5105A,2026-02-11 10:00:00,220,137.69,179.11,9.31,37.54,0.65,80.83
5106A,2026-02-11 10:00:00,172,107.07,148.18,19.69,47.76,1.86,57.57
5107A,2026-02-11 10:00:00,92,52.8,76.97,25.67,27.67,0.93,69.39
1101A,2026-02-11 11:00:00,212,123.6,181.04,10.83,40.32,2.47,115.41
1102A,2026-02-11 11:00:00,164,101.91,133.15,18.07,49.9,1.26,104.43
1103A,2026-02-11 11:00:00,42,24.68,29.42,6.87,46.94,2.38,74.61
1104A,2026-02-11 11:00:00,54,27.46,39.78,9.11,38.24,1.08,104.11
1105A,2026-02-11 11:00:00,218,138.6,172.22,18.88,25.32,1.57,62.92
1106A,2026-02-11 11:00:00,77,42.09,72.78,27.58,48.17,2.27,30.51
1107A,2026-02-11 11:00:00,192,123.45,166.07,5.57,23.25,1.2,80.57
1108A,2026-02-11 11:00:00,207,117.33,171.14,20.96,15.4,1.15,96.78
1109A,2026-02-11 11:00:00,107,68.46,78.33,5.62,48.57,0.69,80.12
1201A,2026-02-11 11:00:00,57,38.06,55.37,5.55,17.69,1.24,27.15
1202A,2026-02-11 11:00:00,47,25.43,29.98,18.33,38.98,0.57,82.41
1203A,2026-02-11 11:00:00,215,128.26,169.1,18.86,29.97,1.95,115.3
1204A,2026-02-11 11:00:00,137,81.86,115.14,22.78,40.72,2.08,66.71
4401A,2026-02-11 11:00:00,117,71.39,83.14,11.05,42.04,1.8,46.38
4402A,2026-02-11 11:00:00,177,107.6,150.66,17.82,45.48,1.93,67.4
4403A,2026-02-11 11:00:00,138,83.5,101.7,6.73,33.96,0.97,82.25
4404A,2026-02-11 11:00:00,164,93.95,144.93,12.22,23.18,1.4,34.64
4405A,2026-02-11 11:00:00,151,91.71,133.79,5.65,29.22,2.23,50.46
4406A,2026-02-11 11:00:00,108,62.1,79.41,18.32,16.86,1.7,40.32
4407A,2026-02-11 11:00:00,131,85.67,100.54,25.17,38.69,0.67,68.91
4408A,2026-02-11 11:00:00,223,124.78,185.71,23.32,24.1,1.03,98.99
4409A,2026-02-11 11:00:00,207,117.64,169.92,5.67,45.03,2.37,50.96
4401B,2026-02-11 11:00:00,63,39.98,61.16,12.97,49.0,1.7,53.06
4402B,2026-02-11 11:00:00,77,43.81,71.03,13.28,32.11,1.44,85.56
4403B,2026-02-11 11:00:00,182,115.76,131.94,18.63,29.68,0.84,34.19
4404B,2026-02-11 11:00:00,85,57.61,72.06,14.78,29.42,2.3,57.01
4405B,2026-02-11 11:00:00,118,74.8,104.3,21.17,15.22,1.86,73.3
4406B,2026-02-11 11:00:00,229,143.21,179.49,17.59,37.46,1.69,91.14
5101A,2026-02-11 11:00:00,98,64.05,69.06,29.9,18.81,1.11,83.83
5102A,2026-02-11 11:00:00,63,40.44,57.18,27.82,27.88,0.79,57.56
5103A,2026-02-11 11:00:00,107,57.02,81.35,27.54,20.95,1.37,77.28
5104A,2026-02-11 11:00:00,84,40.7,70.65,20.37,39.06,2.05,68.39
5105A,2026-02-11 11:00:00,225,128.38,168.95,8.42,38.76,0.87,102.49
5106A,2026-02-11 11:00:00,100,63.61,84.27,22.51,32.51,1.87,80.48
5107A,2026-02-11 11:00:00,57,37.2,31.4,16.14,37.49,0.93,29.86
1101A,2026-02-11 12:00:00,84,40.79,78.59,25.74,48.78,1.1,76.19
1102A,2026-02-11 12:00:00,54,26.26,34.01,18.37,32.26,2.1,49.81
1103A,2026-02-11 12:00:00,174,113.94,139.34,13.54,25.1,1.85,25.94
1104A,2026-02-11 12:00:00,83,41.9,77.5,17.4,40.38,1.46,76.69
1105A,2026-02-11 12:00:00,128,76.23,98.43,6.68,38.24,2.34,34.24
1106A,2026-02-11 12:00:00,117,79.54,80.03,21.05,38.05,0.94,86.12
1107A,2026-02-11 12:00:00,46,29.42,45.01,22.56,44.45,1.21,66.52
1108A,2026-02-11 12:00:00,206,118.49,172.2,26.75,48.35,2.13,87.65
1109A,2026-02-11 12:00:00,209,123.22,170.82,13.69,18.13,0.62,58.32
1201A,2026-02-11 12:00:00,187,109.99,161.17,10.09,20.29,1.94,91.63
1202A,2026-02-11 12:00:00,85,42.2,78.4,14.16,48.09,1.21,71.51
1203A,2026-02-11 12:00:00,83,55.64,53.56,16.24,38.71,1.63,33.69
1204A,2026-02-11 12:00:00,171,108.49,130.01,5.92,34.6,0.67,71.8
4401A,2026-02-11 12:00:00,171,111.54,128.93,9.22,45.09,1.97,92.21
4402A,2026-02-11 12:00:00,140,91.11,114.85,22.97,39.05,1.5,60.53
4403A,2026-02-11 12:00:00,137,88.58,95.89,11.59,22.49,1.7,55.59
4404A,2026-02-11 12:00:00,65,48.08,45.25,6.18,49.92,1.64,26.28
4405A,2026-02-11 12:00:00,48,37.97,46.56,28.6,23.57,1.87,95.41
4406A,2026-02-11 12:00:00,66,39.64,62.64,23.93,29.29,2.37,35.79
4407A,2026-02-11 12:00:00,94,53.48,80.6,17.88,27.64,1.3,40.54
4408A,2026-02-11 12:00:00,119,66.83,103.37,12.44,35.92,1.06,60.96
4409A,2026-02-11 12:00:00,84,40.87,76.48,11.73,16.8,0.69,75.41
4401B,2026-02-11 12:00:00,109,65.91,89.08,24.11,29.03,1.44,50.4
4402B,2026-02-11 12:00:00,49,31.57,27.13,19.34,32.57,1.84,49.27
4403B,2026-02-11 12:00:00,215,129.26,165.39,13.98,34.77,2.06,70.15
4404B,2026-02-11 12:00:00,71,50.7,52.4,5.64,16.37,1.77,112.34
4405B,2026-02-11 12:00:00,145,94.89,120.05,13.99,31.55,1.53,36.1
4406B,2026-02-11 12:00:00,80,44.72,64.11,21.83,31.05,1.62,99.16
5101A,2026-02-11 12:00:00,228,135.02,183.28,23.08,29.5,1.73,57.16
5102A,2026-02-11 12:00:00,89,53.36,58.39,22.88,16.23,0.63,45.12
5103A,2026-02-11 12:00:00,124,82.75,102.2,13.36,32.72,1.8,21.71
5104A,2026-02-11 12:00:00,75,43.88,56.84,15.68,20.0,1.19,62.06
5105A,2026-02-11 12:00:00,128,76.59,102.31,20.87,15.71,0.9,118.21
5106A,2026-02-11 12:00:00,214,129.84,159.54,19.41,48.66,2.02,39.21
5107A,2026-02-11 12:00:00,169,104.57,138.71,10.22,38.13,2.3,117.96
1101A,2026-02-11 13:00:00,117,63.87,104.06,13.45,47.38,0.96,111.47
1102A,2026-02-11 13:00:00,51,37.09,44.23,23.56,40.28,1.77,63.31
1103A,2026-02-11 13:00:00,61,28.88,37.23,25.07,43.68,1.26,85.87
1104A,2026-02-11 13:00:00,91,58.44,74.15,28.16,16.4,0.87,32.98
1105A,2026-02-11 13:00:00,165,104.26,130.75,29.35,22.59,2.45,53.16
1106A,2026-02-11 13:00:00,200,120.64,146.2,24.28,18.23,1.66,70.57
1107A,2026-02-11 13:00:00,82,50.89,57.73,24.43,28.07,2.31,60.76
1108A,2026-02-11 13:00:00,202,113.04,175.19,15.57,17.72,0.77,41.53
1109A,2026-02-11 13:00:00,100,60.49,85.81,9.13,17.45,1.34,100.63
1201A,2026-02-11 13:00:00,48,35.31,48.32,16.86,49.17,2.34,34.3
1202A,2026-02-11 13:00:00,38,14.5,39.0,10.96,33.76,0.79,77.73
1203A,2026-02-11 13:00:00,144,77.57,120.94,25.24,35.7,0.68,90.59
1204A,2026-02-11 13:00:00,127,70.24,116.41,7.6,43.89,0.9,106.1
4401A,2026-02-11 13:00:00,126,67.93,107.39,14.42,34.99,2.03,117.32
4402A,2026-02-11 13:00:00,81,38.66,53.99,14.62,22.97,1.02,84.63
4403A,2026-02-11 13:00:00,223,131.79,168.79,14.46,25.84,2.37,33.92
4404A,2026-02-11 13:00:00,91,50.13,61.26,26.32,48.65,0.95,39.79
4405A,2026-02-11 13:00:00,160,105.46,131.0,18.18,18.67,2.08,47.88
4406A,2026-02-11 13:00:00,132,81.71,100.33,9.7,34.91,2.32,46.11
4407A,2026-02-11 13:00:00,156,94.66,131.26,12.04,34.74,2.21,60.83
4408A,2026-02-11 13:00:00,117,74.57,99.04,10.19,46.24,0.79,97.78
4409A,2026-02-11 13:00:00,150,97.52,110.85,28.09,32.72,0.83,67.15
4401B,2026-02-11 13:00:00,47,35.38,48.02,27.3,18.64,1.26,86.25
4402B,2026-02-11 13:00:00,116,60.62,91.38,29.91,43.64,2.27,100.24
4403B,2026-02-11 13:00:00,160,97.47,118.33,10.82,21.47,1.06,68.91
4404B,2026-02-11 13:00:00,167,104.99,122.18,24.1,19.24,1.89,77.74
4405B,2026-02-11 13:00:00,116,64.41,91.7,26.4,15.6,2.35,60.14
4406B,2026-02-11 13:00:00,178,105.09,155.29,25.9,38.57,1.28,38.04
5101A,2026-02-11 13:00:00,103,54.28,80.11,9.02,23.42,2.3,68.64
5102A,2026-02-11 13:00:00,67,35.19,57.24,21.39,41.23,2.23,93.49
5103A,2026-02-11 13:00:00,150,92.65,128.47,5.09,27.41,1.91,85.3
5104A,2026-02-11 13:00:00,173,97.35,133.69,20.26,34.73,2.13,36.96
5105A,2026-02-11 13:00:00,168,92.91,145.32,29.37,22.04,2.46,69.65
5106A,2026-02-11 13:00:00,51,25.04,27.53,14.83,36.5,1.53,91.86
5107A,2026-02-11 13:00:00,124,80.68,106.67,10.38,26.41,1.09,26.19
1101A,2026-02-11 14:00:00,131,83.76,107.03,21.28,48.68,0.84,37.96
1102A,2026-02-11 14:00:00,225,131.27,172.9,9.13,20.58,2.43,24.52
1103A,2026-02-11 14:00:00,77,39.06,60.69,21.66,43.61,2.03,22.66
1104A,2026-02-11 14:00:00,65,31.07,50.81,16.49,19.38,1.59,106.35
1105A,2026-02-11 14:00:00,160,97.78,126.11,20.37,47.5,1.59,34.73
1106A,2026-02-11 14:00:00,111,65.34,98.83,8.85,47.18,1.21,75.09
1107A,2026-02-11 14:00:00,52,35.82,51.0,27.75,26.99,1.68,60.7
1108A,2026-02-11 14:00:00,125,82.98,100.62,11.8,19.57,0.95,31.04
1109A,2026-02-11 14:00:00,196,112.25,160.26,18.85,32.15,0.97,87.79
1201A,2026-02-11 14:00:00,210,125.72,164.36,12.3,49.49,1.0,26.74
1202A,2026-02-11 14:00:00,198,124.14,157.5,14.09,46.84,1.02,113.27
1203A,2026-02-11 14:00:00,105,70.9,87.41,11.57,28.63,0.97,53.86
1204A,2026-02-11 14:00:00,152,92.46,128.95,26.72,41.99,1.94,59.18
4401A,2026-02-11 14:00:00,43,23.91,33.24,21.1,16.51,2.18,89.49
4402A,2026-02-11 14:00:00,210,134.82,177.03,19.54,21.99,1.63,117.79
4403A,2026-02-11 14:00:00,211,132.12,165.2,19.04,33.13,0.87,53.48
4404A,2026-02-11 14:00:00,46,27.54,31.31,9.75,42.24,1.89,106.97
4405A,2026-02-11 14:00:00,195,118.12,147.7,29.32,23.42,2.19,63.96
4406A,2026-02-11 14:00:00,65,36.7,58.17,16.69,24.02,0.97,58.26
4407A,2026-02-11 14:00:00,118,75.21,92.15,17.49,26.55,0.59,106.32
4408A,2026-02-11 14:00:00,72,44.78,67.21,17.54,32.74,1.41,78.87
4409A,2026-02-11 14:00:00,45,26.26,25.06,18.09,27.38,2.28,75.45
4401B,2026-02-11 14:00:00,125,70.21,94.79,27.78,38.56,1.27,42.25
4402B,2026-02-11 14:00:00,190,123.31,159.51,14.0,45.52,1.9,82.5
4403B,2026-02-11 14:00:00,86,41.68,70.73,6.34,26.06,1.13,113.31
4404B,2026-02-11 14:00:00,217,124.81,175.05,11.89,49.77,2.49,61.45
4405B,2026-02-11 14:00:00,72,52.49,72.44,22.44,29.43,1.7,24.07
4406B,2026-02-11 14:00:00,136,87.39,118.41,5.2,24.33,2.28,49.45
5101A,2026-02-11 14:00:00,127,66.77,92.89,13.21,38.51,1.67,22.27
5102A,2026-02-11 14:00:00,197,121.27,145.25,28.36,21.83,2.25,94.2
5103A,2026-02-11 14:00:00,110,67.22,98.81,20.36,19.81,2.44,61.46
5104A,2026-02-11 14:00:00,52,32.83,30.09,15.86,15.37,1.31,77.66
5105A,2026-02-11 14:00:00,63,42.79,52.86,15.41,19.32,1.36,58.13
5106A,2026-02-11 14:00:00,118,66.25,105.61,28.23,19.64,2.22,68.33
5107A,2026-02-11 14:00:00,207,129.04,161.35,8.99,43.55,0.66,108.36
1101A,2026-02-11 15:00:00,140,74.38,103.38,10.63,28.07,1.57,50.8
1102A,2026-02-11 15:00:00,127,74.6,94.54,12.49,49.32,1.81,66.5
1103A,2026-02-11 15:00:00,104,70.45,77.09,23.8,39.47,1.22,74.49
1104A,2026-02-11 15:00:00,158,95.35,137.02,13.47,30.44,0.54,90.65
1105A,2026-02-11 15:00:00,171,106.92,131.87,7.42,48.97,2.35,94.42
1106A,2026-02-11 15:00:00,218,123.38,167.58,14.55,36.71,1.81,80.46
1107A,2026-02-11 15:00:00,58,44.69,37.41,8.6,35.77,1.22,67.95
1108A,2026-02-11 15:00:00,211,127.33,162.06,21.11,40.23,0.78,59.7
1109A,2026-02-11 15:00:00,36,27.15,28.21,16.19,21.59,1.05,91.34
1201A,2026-02-11 15:00:00,151,85.07,113.31,11.33,36.8,0.74,41.45
1202A,2026-02-11 15:00:00,175,101.59,141.95,8.02,28.28,2.31,77.5
1203A,2026-02-11 15:00:00,203,125.43,169.43,8.06,41.16,2.06,64.97
1204A,2026-02-11 15:00:00,64,37.99,52.47,27.6,49.45,1.7,45.46
4401A,2026-02-11 15:00:00,164,90.99,132.08,28.47,27.49,1.59,62.41
4402A,2026-02-11 15:00:00,46,18.21,26.99,20.5,20.28,1.79,100.3
4403A,2026-02-11 15:00:00,162,92.39,116.71,18.67,15.8,2.32,38.63
4404A,2026-02-11 15:00:00,180,110.82,158.06,16.97,43.21,0.9,50.13
4405A,2026-02-11 15:00:00,49,31.73,29.37,6.55,38.8,0.76,34.07
4406A,2026-02-11 15:00:00,122,68.12,110.55,13.52,29.14,1.7,85.15
4407A,2026-02-11 15:00:00,110,59.73,75.91,6.61,48.63,1.63,28.72
4408A,2026-02-11 15:00:00,78,54.51,75.59,11.73,17.01,1.48,43.97
4409A,2026-02-11 15:00:00,118,65.53,84.33,26.94,32.3,1.96,88.78
4401B,2026-02-11 15:00:00,47,29.25,49.53,28.27,33.55,1.57,74.75
4402B,2026-02-11 15:00:00,183,106.69,147.77,11.13,34.63,1.1,60.81
4403B,2026-02-11 15:00:00,100,53.63,87.41,15.0,46.71,1.75,110.53
4404B,2026-02-11 15:00:00,113,69.71,86.49,12.5,41.46,0.51,117.39
4405B,2026-02-11 15:00:00,143,80.98,120.89,18.4,29.54,0.9,37.24
4406B,2026-02-11 15:00:00,98,59.96,68.83,28.22,38.03,1.77,65.64
5101A,2026-02-11 15:00:00,124,66.34,97.27,28.54,43.67,0.86,108.3
5102A,2026-02-11 15:00:00,214,138.1,181.78,27.47,48.28,1.4,107.84
5103A,2026-02-11 15:00:00,122,78.62,101.67,17.8,29.86,1.48,74.56
5104A,2026-02-11 15:00:00,122,77.83,93.87,8.77,17.2,1.19,104.84
5105A,2026-02-11 15:00:00,57,32.04,33.95,12.56,17.89,2.16,84.74
5106A,2026-02-11 15:00:00,63,41.34,54.92,16.68,41.28,1.08,104.54
5107A,2026-02-11 15:00:00,67,40.93,54.6,25.86,43.03,1.04,115.84
1101A,2026-02-11 16:00:00,74,46.09,69.01,12.94,22.29,0.96,64.83
1102A,2026-02-11 16:00:00,152,81.79,121.1,10.88,28.22,2.37,108.82
1103A,2026-02-11 16:00:00,38,20.33,32.03,11.94,26.52,1.5,69.21
1104A,2026-02-11 16:00:00,43,31.47,41.19,27.63,27.84,1.23,100.56
1105A,2026-02-11 16:00:00,46,28.51,50.02,17.76,17.83,1.08,36.86
1106A,2026-02-11 16:00:00,129,85.52,98.23,28.73,16.15,1.1,104.81
1107A,2026-02-11 16:00:00,175,96.16,125.01,29.72,22.2,0.91,116.42
